name,frequency
Studio 90 Italia,87.5
Radio Amore Dance,87.8
Radio Maria,88.0
Radio Vaticana,88.0
Radio Ricordi,88.2
Etna Radio,88.4
Radio Amore,88.6
VIRGIN,88.8
Gr Parlamento,89.0
Fantastica,89.2
Radio Universal,89.4
Radio Zeta l’Italiana,89.5
Radio Deejay,89.6
RADIO NEWS24,89.8
Radio,90.2
Radio Delfino,90.4
Radio Radicale,90.7
Radio Evangelo Catania,91.0
RSI Radio Studio Italia,91.3
Radio Amore Nostalgia,91.6
Radio Amore Blu,92.0
Gr Parlamento,92.3
Radio Mater,92.5
R 101,92.7
Radio Cuore,93.0
Radio Margherita,93.2
Radio Monte Carlo,94.1
Radio Smile,94.4
Rai Radio (Sicilia),94.7
Radio Mediterraneo,95.0
Radio Zeta l’Italiana,95.6
Radio Sportiva,95.9
R 101,96.1
RSC Radio Studio Centrale,96.4
Rai Radio,96.7
R 101,97.0
Radio Flash,97.25
RVS Radio Voce della Speranza,97.5
M DUE O Radio,97.7
Radio,97.9
Radio ABC,98.1
KISSKISS,98.4
Rai Radio,98.7
Radio Amore,99.0
RDS Radio Dimensione Suono,99.4
Radio,99.6
M DUE O Radio,99.7
Radio Maria,100.0
Radio Vaticana,100.0
Radio Etna Espresso,100.2
Radio,100.3
Radio Capital,100.4
Radio Touring Catania,100.8
Radio Amore Rock,101.0
Radio Telecolor,101.3
Bella Radio,101.6
Radio Maria,102.5
Radio Vaticana,102.5
Radio Video,103.0
RDS Radio Dimensione Suono,103.2
RDS Radio Dimensione Suono,103.25
Radio Base,103.4
Radio Maria,103.5
Radio Vaticana,103.5
Bella Radio,103.7
Radio Bellissima,104.0
RSC Radio Studio Centrale,104.3
Radio Capital,104.6
Radio Jukebox,104.9
Radio Deejay,105.1
Radio Deejay,105.4
Radio Etna Espresso,105.7
AFN The Eagle (Sigonella),106.0
Radio Kiss Kiss,106.2
VIRGIN,106.5
Radio Zeta l’Italiana,106.8
AFN PowerNet (Sigonella),107.0
Radio Maria,107.2
Radio Vaticana,107.2
Radio Margherita,107.4
Radio Margherita,107.6
RDS Radio Dimensione Suono,107.9
Rai Radio (Sicilia),1062.0
Rai Radio (Sicilia),1116.0
